KIC,Teff_spec,e_Teff_spec,[M/H],e_[M/H],Dnu,e_Dnu,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_mag,astrometric_params_solved,nu_eff_used_in_astrometry,pseudocolour,ecl_lat,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,rpgeo,ebv,phot_g_mean_mag_corr,logg,Teff,e_Teff,luminosity,e_luminosity,numax_yu,e_numax_yu,numax,e_numax
7212114,4641.8887,100,0.13642845,0.06,6.115,0.012,295.2234710221863,0.00870474,42.79198348820329,0.009528263,0.6111805674454235,0.009917879,13.222767,11.807444,12.576247,31,1.4298567,,62.5418549971538,10.757,0.021,10.173,0.018,10.02,0.016,1613.35706,0.13,12.576247,2.696168278484782,4572,100,28.76096013428974,1.5102730725685838,62.5,0.64,61.76318122291172,0.478500306647322
7215396,4606.4014,100,-0.17480154,0.06,2.96,0.012,295.99597165822235,0.011275551,42.77748713120079,0.012980947,1.378300516524967,0.01304921,10.133197,8.807517,9.540726,31,1.4500418,,62.31778715389067,7.826,0.021,7.239,0.021,7.118,0.016,712.762634,0.13,9.540726,2.291670255805088,4705,100,87.42679653236384,3.5342551154108506,24.72,0.4,24.065256001054166,0.282572803363984
7215938,4894.166,100,-0.24014156,0.06,6.426,0.015,296.1256088930997,0.01017985,42.70115145317471,0.011804019,0.5807625634747693,0.012432287,13.579023,12.15204,12.93076,31,1.4298053,,62.21128554877464,11.074,0.024,10.505,0.017,10.377,0.017,1676.18811,0.24,12.93076,2.745373541441912,4754,100,26.204652968977747,1.6769694807897777,68.17,0.7,66.44280778894412,0.634928586910882
7217665,5121.279,100,0.11876845,0.06,8.111,0.038,296.53557728192965,0.0109581975,42.713468542673496,0.011594815,0.4804201458459163,0.012517623,13.400935,12.014832,12.773132,31,1.437747,,62.10887514739034,11.055,0.023,10.493,0.017,10.35,0.016,2042.55115,0.22999999,12.773132,2.9381202493581338,4897,100,42.33036245081167,3.137146403756031,103.87,3.0,98.97653230505338,1.46884798013937
7218915,4971.3564,100,-0.27795154,0.06,10.102,0.022,296.8068673943951,0.008667143,42.74969333457776,0.01002298,0.5914855568879107,0.01033071,13.852883,12.468036,13.228345,31,1.4383339,,62.066354631859895,11.469,0.022,10.917,0.017,10.788,0.017,1611.25305,0.22,13.228345,2.9780234624662656,4842,100,17.35241852142469,0.9416260825534,115.57,0.84,115.02454525669803,0.614623200068632
7255313,4715.3535,100,0.045151453,0.06,7.244,0.014,280.93415985165035,0.008000341,42.81738233052335,0.009689385,0.7229529819609178,0.009357479,12.840629,11.549103,12.266152,31,1.4537582,,65.5138217940855,10.589,0.023,10.056,0.018,9.933,0.011,1373.54492,0.06,12.266152,2.7791065879145713,4663,100,23.085921620036885,1.0878536859275254,75.06,0.71,74.11409866721466,0.542583142489083
7258771,4783.3,100,0.01888445,0.06,7.479,0.014,282.7079917261418,0.008307111,42.88537104661264,0.009418355,0.7673730961490856,0.009682312,12.539679,11.261835,11.973095,31,1.4564003,,65.32574428581687,10.29,0.021,9.782,0.018,9.675,0.011,1266.28235,0.089999996,11.973095,2.8309288627593823,4743,100,26.649041301907285,1.2080274985762092,83.97,0.53,82.83574777134884,0.487910230719092
7259237,4741.6704,100,0.26074845,0.06,13.665,0.018,282.9257369802609,0.010246154,42.81309594196061,0.010752989,1.7433036929645336,0.011630501,11.668594,10.428584,11.120257,31,1.4625492,,65.22141854292231,9.544,0.022,9.034,0.016,8.905,0.013,564.584839,0.049999997,11.120257,3.145555655389242,4781,100,10.688809999160252,0.3975897501878318,174.04,1.11,174.2941220323534,0.682301565964187
7259653,4744.033,100,-0.19772154,0.06,4.372,0.013,283.12091058861824,0.008850779,42.83015145547021,0.009957179,0.6789170115012886,0.010129115,12.286249,10.936957,11.679745,31,1.4427786,,65.20747031133959,9.963,0.022,9.383,0.018,9.233,0.016,1410.0304,0.099999994,11.679745,2.514502440160878,4627,100,46.527272100906224,2.298237026268904,40.69,0.58,39.62377021800257,0.389278937192296
7264736,4661.43,100,-0.23179154,0.06,6.866,0.014,285.5434985078668,0.0069792145,42.86255043806128,0.008598169,0.7155338847417029,0.008306178,12.832427,11.5543585,12.266097,31,1.4563655,,64.82490921911685,10.64,0.027,10.1,0.032,9.972,0.021,1382.11719,0.08,12.266097,2.7391044276529306,4737,100,24.09827996225336,1.1224331854628762,68.85,0.58,68.10622790630713,0.371267745353776
