index, star_mass, Xinit, Yinit, Zinit, amlt, fov_shell, fov0_shell, fov_core, fov0_core
24259, 1.15857, 0.72302327, 0.26445099, 0.01252574, 2.329257, 0.001293, 0.000646, 0.012257, 0.006129
24260, 1.35857, 0.64498914, 0.35195099, 0.00305987, 1.804257, 0.000293, 0.000146, 0.004757, 0.002379
24261, 2.15857, 0.69939076, 0.28195099, 0.01865826, 2.504257, 0.004293, 0.002146, 0.014757, 0.007379
24262, 1.75857, 0.67545022, 0.31695099, 0.00759879, 2.154257, 0.002293, 0.001146, 0.019757, 0.009879
24263, 0.95857, 0.70824328, 0.24695099, 0.04480574, 1.454257, 0.006293, 0.003146, 0.009757, 0.004879
24264, 1.05857, 0.72499915, 0.27320099, 0.00179986, 2.241757, 0.006793, 0.003396, 0.006007, 0.003004
24265, 1.85857, 0.64775601, 0.34320099, 0.00904300, 1.541757, 0.002793, 0.001396, 0.016007, 0.008004
24266, 2.25857, 0.75734047, 0.23820099, 0.00445854, 1.891757, 0.004793, 0.002396, 0.011007, 0.005504
24267, 1.45857, 0.66963051, 0.30820099, 0.02216850, 2.591757, 0.000793, 0.000396, 0.001007, 0.000504
24268, 1.25857, 0.70292649, 0.29070099, 0.00637252, 1.366757, 0.001793, 0.000896, 0.013507, 0.006754
24269, 2.05857, 0.60828838, 0.36070099, 0.03101064, 2.066757, 0.005793, 0.002896, 0.003507, 0.001754
24270, 1.65857, 0.74146441, 0.25570099, 0.00283460, 2.416757, 0.003793, 0.001896, 0.008507, 0.004254
24271, 0.85857, 0.66010791, 0.32570099, 0.01419110, 1.716757, 0.007793, 0.003896, 0.018507, 0.009254
24272, 0.80857, 0.68450890, 0.31257599, 0.00291511, 1.498007, 0.005543, 0.002771, 0.011632, 0.005816
24273, 1.60857, 0.73970917, 0.24257599, 0.01771484, 2.198007, 0.001543, 0.000771, 0.001632, 0.000816
24274, 2.00857, 0.64590109, 0.34757599, 0.00652292, 2.548007, 0.007543, 0.003771, 0.006632, 0.003316
24275, 1.20857, 0.68360188, 0.27757599, 0.03882213, 1.848007, 0.003543, 0.001771, 0.016632, 0.008316
24276, 1.40857, 0.66555923, 0.33007599, 0.00436479, 2.023007, 0.002543, 0.001271, 0.009132, 0.004566
24277, 2.20857, 0.71360708, 0.26007599, 0.02631693, 1.323007, 0.006543, 0.003271, 0.019132, 0.009566
24278, 1.80857, 0.63317296, 0.36507599, 0.00175105, 1.673007, 0.000543, 0.000271, 0.014132, 0.007066
24279, 1.00857, 0.69412917, 0.29507599, 0.01079485, 2.373007, 0.004543, 0.002271, 0.004132, 0.002066
